c5_id,input,prediction_strings,results
19750923031109A,"{'doc_key': 'faa/6_19750923031109A', 'sentences': {0: ['dep', 'for', 'dest', 'with', 'known', 'elec', 'prob', '.'], 1: ['didnt', 'use', 'emerg', 'gr', 'down', 'sys', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 14]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (1, 0), 9: (1, 1), 10: (1, 2), 11: (1, 3), 12: (1, 4), 13: (1, 5), 14: (1, 6)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19750923031109A,"{'doc_key': 'faa/6_19750923031109A', 'sentences': {0: ['dep', 'for', 'dest', 'with', 'known', 'elec', 'prob', '.'], 1: ['didnt', 'use', 'emerg', 'gr', 'down', 'sys', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 14]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (1, 0), 9: (1, 1), 10: (1, 2), 11: (1, 3), 12: (1, 4), 13: (1, 5), 14: (1, 6)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19760215007629A,"{'doc_key': 'faa/7_19760215007629A', 'sentences': {0: ['mtns', 'obscured', '.'], 1: ['flt', 'to', 'ck', 'vor', 'rec', 'reptd', 'inop', 'prior', 'day', '.']}, 'token_maps': {0: [0, 1, 2], 1: [3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (1, 0), 4: (1, 1), 5: (1, 2), 6: (1, 3), 7: (1, 4), 8: (1, 5), 9: (1, 6), 10: (1, 7), 11: (1, 8), 12: (1, 9)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19760215007629A,"{'doc_key': 'faa/7_19760215007629A', 'sentences': {0: ['mtns', 'obscured', '.'], 1: ['flt', 'to', 'ck', 'vor', 'rec', 'reptd', 'inop', 'prior', 'day', '.']}, 'token_maps': {0: [0, 1, 2], 1: [3, 4, 5, 6, 7, 8, 9, 10, 11, 12]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (1, 0), 4: (1, 1), 5: (1, 2), 6: (1, 3), 7: (1, 4), 8: (1, 5), 9: (1, 6), 10: (1, 7), 11: (1, 8), 12: (1, 9)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19760606015529A,"{'doc_key': 'faa/8_19760606015529A', 'sentences': {0: ['sufficient', 'opportunity', 'existed', 'to', 'release', 'when', 'glider', 'assumed', 'nose', 'high', 'attitude', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (0, 8), 9: (0, 9), 10: (0, 10), 11: (0, 11)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}",{0: ''},None [+ E]
19760531024959A,"{'doc_key': 'faa/9_19760531024959A', 'sentences': {0: ['maint', 'not', 'performed', 'due', 'parts', 'not', 'available', '.'], 1: ['turbocharger', 'waste', 'gate', 'did', 'not', 'actuate', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 14]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (1, 0), 9: (1, 1), 10: (1, 2), 11: (1, 3), 12: (1, 4), 13: (1, 5), 14: (1, 6)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19760531024959A,"{'doc_key': 'faa/9_19760531024959A', 'sentences': {0: ['maint', 'not', 'performed', 'due', 'parts', 'not', 'available', '.'], 1: ['turbocharger', 'waste', 'gate', 'did', 'not', 'actuate', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 14]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (1, 0), 9: (1, 1), 10: (1, 2), 11: (1, 3), 12: (1, 4), 13: (1, 5), 14: (1, 6)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19760507010379A,"{'doc_key': 'faa/10_19760507010379A', 'sentences': {0: ['left', 'eng', 'oil', 'supply', 'exhausted', '.'], 1: ['gear-up', 'ldg', 'in', 'mesquite', 'brush', '.'], 2: ['density', 'alt,7200ft', '.'], 3: ['high', 'oil', 'usage', 'eng']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5], 1: [6, 7, 8, 9, 10, 11], 2: [12, 13, 14], 3: [15, 16, 17, 18]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (1, 0), 7: (1, 1), 8: (1, 2), 9: (1, 3), 10: (1, 4), 11: (1, 5), 12: (2, 0), 13: (2, 1), 14: (2, 2), 15: (3, 0), 16: (3, 1), 17: (3, 2), 18: (3, 3)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_'), (15, '_'), (16, '_'), (17, '_'), (18, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
19760507010379A,"{'doc_key': 'faa/10_19760507010379A', 'sentences': {0: ['left', 'eng', 'oil', 'supply', 'exhausted', '.'], 1: ['gear-up', 'ldg', 'in', 'mesquite', 'brush', '.'], 2: ['density', 'alt,7200ft', '.'], 3: ['high', 'oil', 'usage', 'eng']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5], 1: [6, 7, 8, 9, 10, 11], 2: [12, 13, 14], 3: [15, 16, 17, 18]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (1, 0), 7: (1, 1), 8: (1, 2), 9: (1, 3), 10: (1, 4), 11: (1, 5), 12: (2, 0), 13: (2, 1), 14: (2, 2), 15: (3, 0), 16: (3, 1), 17: (3, 2), 18: (3, 3)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_'), (15, '_'), (16, '_'), (17, '_'), (18, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]', 2: 'None [+ E]'}",None [+ E]
19760507010379A,"{'doc_key': 'faa/10_19760507010379A', 'sentences': {0: ['left', 'eng', 'oil', 'supply', 'exhausted', '.'], 1: ['gear-up', 'ldg', 'in', 'mesquite', 'brush', '.'], 2: ['density', 'alt,7200ft', '.'], 3: ['high', 'oil', 'usage', 'eng']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5], 1: [6, 7, 8, 9, 10, 11], 2: [12, 13, 14], 3: [15, 16, 17, 18]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (1, 0), 7: (1, 1), 8: (1, 2), 9: (1, 3), 10: (1, 4), 11: (1, 5), 12: (2, 0), 13: (2, 1), 14: (2, 2), 15: (3, 0), 16: (3, 1), 17: (3, 2), 18: (3, 3)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_'), (15, '_'), (16, '_'), (17, '_'), (18, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]', 2: 'None [+ E]', 3: 'None [+ E]'}",None [+ E]
19760507010379A,"{'doc_key': 'faa/10_19760507010379A', 'sentences': {0: ['left', 'eng', 'oil', 'supply', 'exhausted', '.'], 1: ['gear-up', 'ldg', 'in', 'mesquite', 'brush', '.'], 2: ['density', 'alt,7200ft', '.'], 3: ['high', 'oil', 'usage', 'eng']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5], 1: [6, 7, 8, 9, 10, 11], 2: [12, 13, 14], 3: [15, 16, 17, 18]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (1, 0), 7: (1, 1), 8: (1, 2), 9: (1, 3), 10: (1, 4), 11: (1, 5), 12: (2, 0), 13: (2, 1), 14: (2, 2), 15: (3, 0), 16: (3, 1), 17: (3, 2), 18: (3, 3)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_'), (15, '_'), (16, '_'), (17, '_'), (18, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]', 2: 'None [+ E]', 3: 'None [+ E]'}",None [+ E]
19761022033409A,"{'doc_key': 'faa/11_19761022033409A', 'sentences': {0: ['plt', 'continued', 't/o', 'ifr', 'after', 'wndshd', '&', 'windows', 'fogged', 'up', 'during', 'vfr', 'departure', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (0, 8), 9: (0, 9), 10: (0, 10), 11: (0, 11), 12: (0, 12), 13: (0, 13)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}",{0: ''},None [+ E]
19761021035989A,"{'doc_key': 'faa/12_19761021035989A', 'sentences': {0: ['plt', 'preoccupied', 'with', 'prev', 'nose', 'wheel', 'vibration', '.'], 1: ['did', ""n't"", 'observe', 'gr', 'safe', 'lgt', '.'], 2: ['wind', 'gusting', '23kts', '.']}, 'token_maps': {0: [0, 1, 2, 3, 4, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 14], 2: [15, 16, 17, 18]}, 'tid_to_word_idx': {0: (0, 0), 1: (0, 1), 2: (0, 2), 3: (0, 3), 4: (0, 4), 5: (0, 5), 6: (0, 6), 7: (0, 7), 8: (1, 0), 9: (1, 1), 10: (1, 2), 11: (1, 3), 12: (1, 4), 13: (1, 5), 14: (1, 6), 15: (2, 0), 16: (2, 1), 17: (2, 2), 18: (2, 3)}, 'speakers': [(0, '_'), (1, '_'), (2, '_'), (3, '_'), (4, '_'), (5, '_'), (6, '_'), (7, '_'), (8, '_'), (9, '_'), (10, '_'), (11, '_'), (12, '_'), (13, '_'), (14, '_'), (15, '_'), (16, '_'), (17, '_'), (18, '_')], 'genres': ['fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa', 'fa']}","{0: '', 1: 'None [+ E]'}",None [+ E]
